local_authority,level_two,crime,black,bad_very_bad,flat_hmo,five_plus,single,single_parent,smoking,unemployed,inactive,children,adult_under_thirty,sixtyfive_plus,stock
Hartlepool,47.3,13465,0.5,7.9,10.6,5.3,33.3,9.5,14.7,4,45.4,23.4,17.9,19.8,10048
Middlesbrough,47.1,24847,2.7,8,11.8,7.7,33.1,10.3,15.7,5.1,45.4,25.6,21.5,16.8,15138
Redcar and Cleveland,45.7,15806,0.2,7.1,7.8,4.8,33.5,8.4,13.4,3.5,46.9,21.9,16.1,23.3,12676
Stockton-on-Tees,42.9,22537,1.1,6.4,8.6,6,31,8,10.7,3.8,41.6,23.8,17.7,18.9,13986
Darlington,43.2,12011,0.7,5.7,12.3,4.6,34.2,8,9.7,3.4,40.6,22.5,17.4,20.3,3119
County Durham,44.6,51970,0.3,7.3,4.7,4.2,33.9,8.1,12.9,3,45.7,21.8,17.8,21.4,48966
Northumberland,42.1,24899,0.2,5.5,9.5,3.9,32.8,6.5,9.6,2.9,44.7,19.9,14.6,25.4,18116
Newcastle upon Tyne,36.9,37551,3.3,7.5,30.8,7.3,34.2,7.4,12.1,4.7,44.9,24.1,27.1,14.8,10632
North Tyneside,41,17790,0.6,6,21.8,3.8,34.9,7.7,11.7,3.3,40,21.8,17,20.6,6520
South Tyneside,45,15713,0.5,7.4,19.4,4.1,36,9.3,14.5,4.3,44.1,21.9,17.5,20.9,5342
Sunderland,48.6,29275,1,7.8,11.7,4.5,33,8.5,12.8,3.9,44.3,21.8,18.3,20.6,34704
Gateshead,45.3,19067,1.1,7.2,19.2,4.4,34.6,7.5,10.8,3.7,42.2,21.5,18.5,20.4,5651
Halton,49.6,12411,0.4,7.9,10.2,5.4,31.6,9.2,11.8,3.2,40.3,23.4,18,18.5,14423
Warrington,41.3,15484,0.7,5,11.6,5,30.2,6.8,8.2,2.7,37.5,22.3,17.5,19.1,14924
Blackburn with Darwen,49,13860,0.9,7.8,10.6,13,29.9,8.7,15.3,3.8,43,28.3,19.5,14.4,11658
Blackpool,51.4,22375,0.5,8.8,19.1,4.9,38,9,19.7,4.3,44.7,21.6,18.1,20.6,2453
Cheshire East,37.4,25418,0.6,4.4,9.3,4.7,30.4,5.6,8.7,2.4,39.2,21.1,16,22.3,22240
Cheshire West and Chester,38.8,25168,0.6,5,10.8,4.7,30.2,6.2,9.6,2.8,40,21.4,17.7,21.3,19464
Cumberland,44.9,20712,0.2,5.7,7.6,4.2,34.3,6.3,13.1,2.4,41.5,20.4,16.5,23.1,22710
Westmorland and Furness,38.4,14488,0.3,6.9,9.5,4.2,33.2,4.8,9.8,2,41.5,19.1,15.3,25.8,8490
Burnley,49.3,10260,0.3,7.4,7.8,8.1,32.9,9,16.3,3.6,43.2,25,19.1,17.9,6492
Chorley,39.3,7391,0.6,5,8.5,4.9,29.2,6.6,13.2,2.4,38.2,21.9,16.6,20.4,7150
Fylde,39.3,4530,0.4,4.9,18.5,3.9,34.2,5.2,6.9,2.3,46.1,18.5,13.8,27.8,3324
Hyndburn,47.4,8125,0.3,7.3,8.2,7.9,32.9,8.8,11.5,3.4,42.3,24.9,18.9,18.2,5035
Lancaster,36.9,10712,0.9,5.7,14,5.5,32.6,6.3,12.7,2.9,45,22.7,20.3,20.5,3019
Pendle,48.3,6450,0.3,6.2,6.8,11.3,31.1,7,13.5,3.2,44.2,26.1,18,18,4816
Preston,41.6,15911,2.4,6.5,16.1,8.2,32.5,8,14.3,3.8,40,25.1,23.2,14.8,12605
Ribble Valley,34.2,2428,0.2,3.4,6.2,4.5,29.2,4.7,6.4,1.7,39.3,20.5,14.4,24.1,2335
Rossendale,42.3,4635,0.2,6.2,8.5,5.8,31.8,7.3,16.2,2.7,39.5,23.4,16.9,19.2,4749
South Ribble,39.4,6748,0.5,4.7,7.7,4.7,29.8,6.4,11.4,2.2,38,21.6,16.6,21.7,5476
West Lancashire,40.7,5814,0.3,5.4,9,5.5,28.8,6.5,11.1,3.1,42.5,22.8,17.4,21.9,1752
Wyre,44.6,7233,0.2,5.9,9.2,4.2,32.2,6.1,9,2.6,46.7,19.7,14.3,27.7,4391
Bolton,47.2,33115,3.8,6.7,12,9.5,30.7,8,14.2,3.9,42.1,26.3,18.4,17.2,25494
Bury,42.8,20126,1.9,5.8,13.2,7.4,30.8,7.5,10.6,3.2,39.7,24.6,17.8,18.3,5081
Manchester,38,94406,11.9,8.8,32,11.1,33.3,9.4,15.6,5.7,40.8,27.1,29.4,9.5,51832
Oldham,49.7,28526,3.4,7.1,11.2,11.5,29.4,9.4,12.5,4.1,43.3,28,18.9,15.9,18641
Rochdale,47.7,25917,3.5,7,11.9,9.4,30.6,9.7,13.8,3.8,42.2,26.4,18.9,16.5,20800
Salford,41.5,32446,6.1,7.4,29.2,6.9,34,8.5,13.3,4.7,36.5,24.2,27.3,13.4,29912
Stockport,38.1,25498,1.2,5.2,14.6,5.5,31.1,6.9,10.9,2.8,38.7,22.8,17,20.1,6668
Tameside,48.2,24732,2.3,7,13.8,6.4,32.5,9.1,16.5,3.5,39.5,24.1,18.9,17.6,22471
Trafford,34.9,18434,3.4,4.8,18.8,7.2,29.5,6.6,8.6,3,37.1,25.1,16.1,17.6,15663
Wigan,47,34908,1.2,6.3,8.1,5.2,30.7,7.3,12.8,3,39.4,22.5,18.4,19.3,4675
Knowsley,51.2,14303,0.8,9,9.5,5.8,31.2,11.1,12.8,3.5,40.6,23.7,20.1,17.1,18132
Liverpool,42.4,65593,3.5,9.2,21.1,6.2,36.8,9.1,14.6,4.7,44.2,23.1,25.6,15.3,58335
St. Helens,46.5,18083,0.4,7.4,7.9,4.7,31.6,8,11.2,3.1,42,21.8,18.1,20.4,17266
Sefton,44.1,22694,0.5,6.4,17.8,5.4,33.7,7.1,8.7,3,43.3,20.7,16.4,23.1,18934
Wirral,42.2,24413,0.4,6.9,15.8,5.1,34.7,8.4,11,2.9,43.9,22.3,16.5,22,23573
